[ T-Track ]
    title = Espectro de energia en el gel
     mesh =  reg            # mesh type is region-wise
      reg = 600
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      600   1.0000E+00 # 600
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ./out/energy_gel.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    600

x: Energy [MeV]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  
#  e-lower      e-upper        proton    r.err 
   1.0000E-09   2.5000E-01   7.6940E+04  0.0008
   2.5000E-01   5.0000E-01   9.1447E+04  0.0008
   5.0000E-01   7.5000E-01   1.2847E+05  0.0008
   7.5000E-01   1.0000E+00   1.6481E+05  0.0008
   1.0000E+00   1.2500E+00   2.0075E+05  0.0007
   1.2500E+00   1.5000E+00   2.3767E+05  0.0007
   1.5000E+00   1.7500E+00   2.7627E+05  0.0007
   1.7500E+00   2.0000E+00   3.1649E+05  0.0007
   2.0000E+00   2.2500E+00   3.5765E+05  0.0007
   2.2500E+00   2.5000E+00   3.9830E+05  0.0007
   2.5000E+00   2.7500E+00   4.3711E+05  0.0007
   2.7500E+00   3.0000E+00   4.7295E+05  0.0007
   3.0000E+00   3.2500E+00   5.0545E+05  0.0007
   3.2500E+00   3.5000E+00   5.3505E+05  0.0007
   3.5000E+00   3.7500E+00   5.6394E+05  0.0007
   3.7500E+00   4.0000E+00   5.9587E+05  0.0007
   4.0000E+00   4.2500E+00   6.3381E+05  0.0007
   4.2500E+00   4.5000E+00   6.7606E+05  0.0007
   4.5000E+00   4.7500E+00   7.1815E+05  0.0007
   4.7500E+00   5.0000E+00   7.5682E+05  0.0007
   5.0000E+00   5.2500E+00   7.9201E+05  0.0007
   5.2500E+00   5.5000E+00   8.2301E+05  0.0006
   5.5000E+00   5.7500E+00   8.5151E+05  0.0006
   5.7500E+00   6.0000E+00   8.8573E+05  0.0006
   6.0000E+00   6.2500E+00   9.3132E+05  0.0006
   6.2500E+00   6.5000E+00   9.8307E+05  0.0006
   6.5000E+00   6.7500E+00   1.0310E+06  0.0006
   6.7500E+00   7.0000E+00   1.0678E+06  0.0006
   7.0000E+00   7.2500E+00   1.0866E+06  0.0006
   7.2500E+00   7.5000E+00   1.0974E+06  0.0006
   7.5000E+00   7.7500E+00   1.1249E+06  0.0006
   7.7500E+00   8.0000E+00   1.1729E+06  0.0006
   8.0000E+00   8.2500E+00   1.2231E+06  0.0006
   8.2500E+00   8.5000E+00   1.2524E+06  0.0006
   8.5000E+00   8.7500E+00   1.2600E+06  0.0006
   8.7500E+00   9.0000E+00   1.2828E+06  0.0006
   9.0000E+00   9.2500E+00   1.3382E+06  0.0006
   9.2500E+00   9.5000E+00   1.4007E+06  0.0006
   9.5000E+00   9.7500E+00   1.4311E+06  0.0006
   9.7500E+00   1.0000E+01   1.4333E+06  0.0006
   1.0000E+01   1.0250E+01   1.4692E+06  0.0006
   1.0250E+01   1.0500E+01   1.5615E+06  0.0006
   1.0500E+01   1.0750E+01   1.6577E+06  0.0006
   1.0750E+01   1.1000E+01   1.6947E+06  0.0006
   1.1000E+01   1.1250E+01   1.7301E+06  0.0006
