[ T-Track ]
    title = Espectro de energia en el gel
     mesh =  reg            # mesh type is region-wise
      reg = 600
   volume                   # combined, lattice or level structure 
   non     reg      vol     # reg definition
    1      600   1.0000E+00 # 600
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =  1.0000000E-09  # minimum value of e-mesh points
     emax =   25.00000      # maximum value of e-mesh points
#    edel =  0.2500000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.00000E-09  2.50000E-01  5.00000E-01  7.50000E-01  1.00000E+00
#           1.25000E+00  1.50000E+00  1.75000E+00  2.00000E+00  2.25000E+00
#           2.50000E+00  2.75000E+00  3.00000E+00  3.25000E+00  3.50000E+00
#           3.75000E+00  4.00000E+00  4.25000E+00  4.50000E+00  4.75000E+00
#           5.00000E+00  5.25000E+00  5.50000E+00  5.75000E+00  6.00000E+00
#           6.25000E+00  6.50000E+00  6.75000E+00  7.00000E+00  7.25000E+00
#           7.50000E+00  7.75000E+00  8.00000E+00  8.25000E+00  8.50000E+00
#           8.75000E+00  9.00000E+00  9.25000E+00  9.50000E+00  9.75000E+00
#           1.00000E+01  1.02500E+01  1.05000E+01  1.07500E+01  1.10000E+01
#           1.12500E+01  1.15000E+01  1.17500E+01  1.20000E+01  1.22500E+01
#           1.25000E+01  1.27500E+01  1.30000E+01  1.32500E+01  1.35000E+01
#           1.37500E+01  1.40000E+01  1.42500E+01  1.45000E+01  1.47500E+01
#           1.50000E+01  1.52500E+01  1.55000E+01  1.57500E+01  1.60000E+01
#           1.62500E+01  1.65000E+01  1.67500E+01  1.70000E+01  1.72500E+01
#           1.75000E+01  1.77500E+01  1.80000E+01  1.82500E+01  1.85000E+01
#           1.87500E+01  1.90000E+01  1.92500E+01  1.95000E+01  1.97500E+01
#           2.00000E+01  2.02500E+01  2.05000E+01  2.07500E+01  2.10000E+01
#           2.12500E+01  2.15000E+01  2.17500E+01  2.20000E+01  2.22500E+01
#           2.25000E+01  2.27500E+01  2.30000E+01  2.32500E+01  2.35000E+01
#           2.37500E+01  2.40000E+01  2.42500E+01  2.45000E+01  2.47500E+01
#           2.50000E+01
     unit =    1            # unit is [1/cm^2/source]
 material =  all            # (D=all) number of specific material
     axis =     eng            # axis of output
     file = ./out/energy_gel.out  # file name of output for the above axis
     part =  proton   
# kf/name :  2212     
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         107 (  0)           0 (  0)         107 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    600

x: Energy [MeV/n]
y: Flux [1/cm^2/source]              
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(proton  ),hh0l n  
#  e-lower      e-upper        proton    r.err 
   1.0000E-09   2.5000E-01   7.7010E+04  0.0004
   2.5000E-01   5.0000E-01   9.1528E+04  0.0004
   5.0000E-01   7.5000E-01   1.2859E+05  0.0004
   7.5000E-01   1.0000E+00   1.6498E+05  0.0004
   1.0000E+00   1.2500E+00   2.0100E+05  0.0004
   1.2500E+00   1.5000E+00   2.3797E+05  0.0004
   1.5000E+00   1.7500E+00   2.7655E+05  0.0004
   1.7500E+00   2.0000E+00   3.1679E+05  0.0004
   2.0000E+00   2.2500E+00   3.5787E+05  0.0004
   2.2500E+00   2.5000E+00   3.9848E+05  0.0004
   2.5000E+00   2.7500E+00   4.3727E+05  0.0004
   2.7500E+00   3.0000E+00   4.7315E+05  0.0004
   3.0000E+00   3.2500E+00   5.0567E+05  0.0004
   3.2500E+00   3.5000E+00   5.3529E+05  0.0004
   3.5000E+00   3.7500E+00   5.6415E+05  0.0004
   3.7500E+00   4.0000E+00   5.9603E+05  0.0004
   4.0000E+00   4.2500E+00   6.3388E+05  0.0004
   4.2500E+00   4.5000E+00   6.7625E+05  0.0004
   4.5000E+00   4.7500E+00   7.1837E+05  0.0004
   4.7500E+00   5.0000E+00   7.5701E+05  0.0004
   5.0000E+00   5.2500E+00   7.9211E+05  0.0004
   5.2500E+00   5.5000E+00   8.2306E+05  0.0004
   5.5000E+00   5.7500E+00   8.5162E+05  0.0004
   5.7500E+00   6.0000E+00   8.8597E+05  0.0004
   6.0000E+00   6.2500E+00   9.3175E+05  0.0003
   6.2500E+00   6.5000E+00   9.8336E+05  0.0003
   6.5000E+00   6.7500E+00   1.0313E+06  0.0003
   6.7500E+00   7.0000E+00   1.0682E+06  0.0003
   7.0000E+00   7.2500E+00   1.0870E+06  0.0003
   7.2500E+00   7.5000E+00   1.0977E+06  0.0003
   7.5000E+00   7.7500E+00   1.1252E+06  0.0003
   7.7500E+00   8.0000E+00   1.1735E+06  0.0003
   8.0000E+00   8.2500E+00   1.2238E+06  0.0003
   8.2500E+00   8.5000E+00   1.2531E+06  0.0003
   8.5000E+00   8.7500E+00   1.2606E+06  0.0003
   8.7500E+00   9.0000E+00   1.2833E+06  0.0003
   9.0000E+00   9.2500E+00   1.3390E+06  0.0003
   9.2500E+00   9.5000E+00   1.4020E+06  0.0003
   9.5000E+00   9.7500E+00   1.4326E+06  0.0003
   9.7500E+00   1.0000E+01   1.4344E+06  0.0003
   1.0000E+01   1.0250E+01   1.4700E+06  0.0003
   1.0250E+01   1.0500E+01   1.5626E+06  0.0003
   1.0500E+01   1.0750E+01   1.6589E+06  0.0003
   1.0750E+01   1.1000E+01   1.6955E+06  0.0003
   1.1000E+01   1.1250E+01   1.7306E+06  0.0003
